LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,stmDly,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
100,181109,1,1,176,26,350,2,1,0,1,60,400,1,5,0,5.298,65.996,43.428,,
99,181110,1,1,0,30,150,2,1,0,1,20,400,1,5,0,1.462,49.018,50.274,,
99,181110,1,1,30,25,150,2,1,1,1,20,400,1,5,0,0,80,33,,
100,181110,1,1,0,30,300,2,1,1,1,20,400,1,0,0,0,0,3,,
100,181110,1,1,30,25,300,2,1,0,1,20,400,1,5,0,3.31,43.888,33.926,,
100,181110,1,2,0,30,325,2,1,1,1,60,400,1,0,0,0,9,0,,
100,181110,1,2,32,0,325,2,1,0,1,60,400,1,5,0,3.748,16.616,13.432,,
100,181110,1,3,1,30,500,2,1,1,1,40,400,1,5,1,15,60,25,,
100,181110,1,3,29,28,500,2,1,0,1,40,400,1,5,0,2.55,101.892,45.808,,
99,181111,1,1,1,14,150,2,1,0,1,0,400,1,5,0,4.78,37.53,37.634,,
99,181111,1,1,34,14,150,2,1,1,1,0,400,1,1,0,0,6,0,,
99,181111,1,1,81,50,150,2,1,0,1,40,400,1,5,0,4.01,70.492,32.198,,
99,181111,1,1,116,0,150,2,1,1,1,40,400,1,0,0,0,12,0,,
99,181111,1,1,150,17,150,2,1,0,1,60,400,1,5,0,5.176,49.224,32.082,,
99,181111,1,1,183,14,150,2,1,1,1,60,400,1,1,0,3.012,15,1.986,,
99,181111,1,1,218,0,150,2,1,0,1,20,400,1,5,0,6.8,69.534,32.016,,
99,181111,1,1,250,58,150,2,1,1,1,20,400,1,1,0,0,9,0,,
99,181111,1,1,438,33,750,2,1,0,1,0,400,1,5,0,13.852,46.206,29.018,,
99,181111,1,1,468,54,750,2,1,1,1,0,400,1,0,0,0,6,0,,
100,181111,1,1,150,17,500,2,1,1,1,60,400,1,5,0,24,43,19,,
100,181111,1,1,183,14,500,2,1,0,1,60,400,1,4,1,15.87,75.666,13.364,,
100,181111,1,1,218,0,500,2,1,1,1,20,400,1,0,0,0,3,0,,
100,181111,1,1,250,58,500,2,1,0,1,20,400,1,5,4,2.252,96.744,35.782,,
100,181111,1,1,283,6,500,2,1,1,1,20,400,1,4,0,29,56,12,,
100,181111,1,1,313,44,500,2,1,0,1,20,400,1,4,2,1.934,82.524,48.378,,
100,181111,1,1,347,0,500,2,1,1,1,60,400,1,0,2,0,1,0,,
100,181111,1,1,380,1,500,2,1,0,1,60,400,1,5,0,10.47,94.128,38.248,,
100,181111,1,1,500,28,750,2,1,1,1,40,400,1,5,0,32,53,13,,
100,181111,1,1,532,0,750,2,1,0,1,40,400,1,1,0,2.514,21.778,0,,
127,200814,3,3,1,0,400,2,1,0,1,0,600,1,3,2,3.482,21.764,9.788,,
127,200814,3,3,31,0,400,2,1,1,1,0,600,1,3,5,0.88,19,4,,
127,200814,3,3,64,0,300,2,1,0,1,20,600,1,4,0,0,14.584,7,,
127,200814,3,3,96,0,300,2,1,1,1,20,600,1,2,0,1.892,16,0,,
127,200814,3,4,1,0,300,2,1,0,1,40,600,1,2,2,0,36,35,,
127,200814,3,4,31,0,300,2,1,1,1,40,600,1,2,4,4.39,16,16,,
127,200814,3,5,1,0,325,2,1,0,1,60,600,1,3,2,2.986,17,13,,
127,200814,3,5,31,0,325,2,1,1,1,60,600,1,2,0,2.852,21,18,,
127,200814,3,5,61,30,325,2,1,0,1,60,600,1,4,0,2.688,19.084,11.45,,
127,200814,3,5,91,30,325,2,1,1,1,60,600,1,2,1,1.302,24,9,,
127,200814,3,5,122,0,325,2,1,0,1,40,600,1,4,0,0,13.856,12,,
127,200814,3,5,152,0,325,2,1,1,1,40,600,1,2,0,13.862,19,13,,
128,200814,3,3,1,0,150,2,1,1,1,0,600,1,5,2,1.742,21,18,,
128,200814,3,3,31,0,150,2,1,0,1,0,600,1,5,1,2.196,22.84,19.9,,
128,200814,3,3,64,0,100,2,1,1,1,20,600,1,5,3,0,39,35,,
128,200814,3,3,96,0,100,2,1,0,1,20,600,1,2,4,2.422,37.478,38.22,,
128,200814,3,5,1,0,125,2,1,1,1,60,400,1,4,1,1.018,42,24,,
128,200814,3,5,31,0,125,2,1,0,1,60,400,1,5,1,1.202,66.112,66.422,,
128,200814,3,5,61,0,110,2,1,1,1,60,400,1,0,0,0,1,0,,
128,200814,3,5,91,30,110,2,1,0,1,60,400,1,5,0,2.256,35.582,24.626,,
128,200814,3,5,122,0,125,2,1,1,1,40,400,1,5,0,1.994,9,7,,
128,200814,3,5,152,0,125,2,1,0,1,40,400,1,5,0,0.43,20.866,45.236,,
129,200814,2,1,2,30,50,2,1,0,1,0,400,1,2,3,0.44,29.726,30.906,,
129,200814,2,1,32,30,50,2,1,1,1,0,400,1,2,4,0.66,26,17,,
129,200814,2,1,62,30,75,2,1,0,1,20,400,1,5,1,0,26.032,22.578,,
129,200814,2,1,92,30,75,2,1,1,1,20,400,1,5,0,34.366,47,23,,
129,200814,2,1,125,30,60,2,1,0,1,40,400,1,5,0,24.998,24.558,26.332,,
129,200814,2,1,155,30,60,2,1,1,1,40,400,1,4,0,0,31,26,,
129,200814,2,1,185,30,50,2,1,0,1,60,400,1,5,0,0.536,30.316,31.442,,
129,200814,2,1,215,30,50,2,1,1,1,60,400,1,5,1,0.692,45,30,,
129,200814,2,3,29,0,37,2,1,0,1,40,600,1,5,0,1.158,31.66,22.068,,
129,200814,2,3,63,0,37,2,1,1,1,40,600,1,5,0,0.298,48,27,,
130,200814,2,1,62,30,350,2,1,1,1,20,400,1,5,4,0.712,30,10,,
130,200814,2,1,92,30,350,2,1,0,1,20,400,1,5,5,1.822,28.936,19.932,,
130,200814,2,1,125,30,300,2,1,1,1,40,400,1,5,0,1.378,44,24,,
130,200814,2,1,155,30,300,2,1,0,1,40,400,1,5,3,0.746,19.422,20.796,,
